Date,Review,Rating
2023-06-28,Using robot camera since a week. Easy to install. user friendly mobile app through which I can access recordings and use its features..I installed in my living room. It also has a mic and speaker for two way communication. So whenever I’m away I can not only keep a watch the video but also can listen to the conversation and also speak...Cloud recording option is most valuable feature. My recording are safe always on cloud...It also automatically rotates and the tracks the human activity...It can trigger a siren sound on detection of human.Overall a very feature rich and fantastic product.Value for money product. Must go for it..,5.0
2024-02-27,The camera quality is good and the two way communication work well. The night vision is also good.,4.0
2024-02-27,I ordered this cctv camera and check for the working but it didn't work. So I contacted the customer service they supported and told that they will delivered next day. But the delivery guy was arrogant and he didn't delivered on time . Still I haven't received and my money is stuck,1.0
2023-11-13,"It' works well .Camera quality nice.First few times I failed  to connect with wifi connectivity. It' works with wifi router . But am going far , I am not able to view in my mobile. I viewed lots of videos, and their manual too. But not successful.So I request to return it.But accidentally, I switch on my hotspot in my mobile , when I near to cam and wifi router.It's solved . Now am viewing my cam  remotely.Reasons I like this camera:1. It's picture quality.2. Speaker sound very loud comparing to my other cameras.3. Humanoid mode is a very good option in this . Camera automatically rotates towards human moving.4. It's price.Almost half the rate comparing to Mi, Vivo, and other companies.Note:These below lines now am writing after 10 days of usage.Recording videos most of time vanished.When I playback my last recordings, sometimes it says no RECORDING",5.0
2024-04-03,"I liked the features of the camera, easy to install and quality if the video is also good. It's value for money.But the product doesn't come with holder or stand to fix it with wall. That's a drawback for me.If someone wants to just place the camera on top of any thing then it's fine.",3.0
2024-03-08,I bought for my kids room when I am away at work to monitor and talk to their caretaker when required. It detects motion sends notification and alerts. I can listen to them using the mike inbuilt and talk to them using the intercom. I use alexa to play songs for them.,5.0
2024-02-20,Audio is not satisfactory 5g sim not working more faster and broad connectivity expected,2.0
2024-03-27,The Insulation process is very easy . Just down load the  App & connect it. But the Question is regarding durbality. Life period.  Will it work for more than Five Years. 🤷‍♂️,4.0
2024-03-27,Working is good,4.0
2024-03-18,Best quality,4.0
2023-06-28,Using robot camera since a week. Easy to install. user friendly mobile app through which I can access recordings and use its features..I installed in my living room. It also has a mic and speaker for two way communication. So whenever I’m away I can not only keep a watch the video but also can listen to the conversation and also speak...Cloud recording option is most valuable feature. My recording are safe always on cloud...It also automatically rotates and the tracks the human activity...It can trigger a siren sound on detection of human.Overall a very feature rich and fantastic product.Value for money product. Must go for it..,5.0
2024-02-27,The camera quality is good and the two way communication work well. The night vision is also good.,4.0
2024-02-27,I ordered this cctv camera and check for the working but it didn't work. So I contacted the customer service they supported and told that they will delivered next day. But the delivery guy was arrogant and he didn't delivered on time . Still I haven't received and my money is stuck,1.0
2023-11-13,"It' works well .Camera quality nice.First few times I failed  to connect with wifi connectivity. It' works with wifi router . But am going far , I am not able to view in my mobile. I viewed lots of videos, and their manual too. But not successful.So I request to return it.But accidentally, I switch on my hotspot in my mobile , when I near to cam and wifi router.It's solved . Now am viewing my cam  remotely.Reasons I like this camera:1. It's picture quality.2. Speaker sound very loud comparing to my other cameras.3. Humanoid mode is a very good option in this . Camera automatically rotates towards human moving.4. It's price.Almost half the rate comparing to Mi, Vivo, and other companies.Note:These below lines now am writing after 10 days of usage.Recording videos most of time vanished.When I playback my last recordings, sometimes it says no RECORDING",5.0
2024-04-03,"I liked the features of the camera, easy to install and quality if the video is also good. It's value for money.But the product doesn't come with holder or stand to fix it with wall. That's a drawback for me.If someone wants to just place the camera on top of any thing then it's fine.",3.0
2024-03-08,I bought for my kids room when I am away at work to monitor and talk to their caretaker when required. It detects motion sends notification and alerts. I can listen to them using the mike inbuilt and talk to them using the intercom. I use alexa to play songs for them.,5.0
2024-02-20,Audio is not satisfactory 5g sim not working more faster and broad connectivity expected,2.0
2024-03-27,The Insulation process is very easy . Just down load the  App & connect it. But the Question is regarding durbality. Life period.  Will it work for more than Five Years. 🤷‍♂️,4.0
2024-03-27,Working is good,4.0
2024-03-18,Best quality,4.0
2024-01-31,"Nice product worth it, I hope that built quality is good And it will work continue without any problem go for it,thank you Trueview  and amazon.",4.0
2024-02-14,"It's camera and sound system is not smooth with wifi, 4g I don't check",3.0
2024-02-08,Very good purchase,3.0
2024-01-31,The media could not be loaded.,3.0
2024-04-05,Good I'm daily use ing ..,5.0
2024-03-31,Nice,5.0
2023-12-20,"OK , if using with WiFiWith Sim it consume more than 2GB only with alerts",3.0
2023-10-26,"All wifi camara require 24hr internet connection but this one works also without internet.I like human declaration green color very much.My suggestion:vertical degree up down range should be increased.USB cable should be 2 MTR long, and detachable.Holder of the camara is loose should be improvedWhen power is off time resets, there should be like inbilt CMOS battery",4.0
2023-09-26,"1. Camera built quality good2.  Camera lense focul length information not available hence hiding3.  Coverage lenth is avarage.4. Night vision is okay5. if you don't buy cloud recording app does not allow fast replay, it is kind of cheating.6. it doesn't pick voice just 2 foot from camera.7. does not record voice on SD card",3.0
2024-03-19,"I was purchased last month, only wifi connected but not connecting to 4G sim.",2.0
2024-03-06,Device is always getting offline..with both sim and wifi.am tired by restarting the device always.better don't buy,2.0
2023-11-03,"The media could not be loaded.
                



Wifi conting me jaldi nhi hota he connect problem",4.0
2023-10-28,This is a super product. Easy to install and has multiple features. Value for money.,4.0
2023-10-18,"The media could not be loaded.
                



Camera clarity overall goodVoice recording  I like tooMobile application very goodNeed to Improve slitly packaging",4.0
2023-10-22,"So far, it's working fine. Google Home is not supported",4.0
2023-11-03,Working good.,4.0
2023-10-10,Please send other one or refund my money because voice not listening clear in camera live,3.0
2023-10-23,Nice one..i can monitor my homefRom anywhere,4.0
2023-10-18,Very good product and useful. But sound is not good.,3.0
2023-10-18,"Easy instalation, use without wifi with camera built-in hotspot",4.0
2023-10-24,The media could not be loaded.,4.0
2023-10-11,Very Easy to Install and Use.,4.0
2023-10-03,Good,4.0
2023-06-09,"Best picture quality, Camera configuration is so easy and instant-  Truecloud app guide us step by stepCan be stuck on the ceiling with double sided tape or screws and mounting plate are provided.You can remotely view live or recorded video on your cell phone using TRUECLOUD app. It needs your email or phone number to login.This does not work without WIFI!!1 month free cloud storage available after that its chargeable.It has night vision.It also has motion detection, tracking, Siren and many more.Need to buy memory card separate (MAX 256 GB supported)Records two weeks of footage in HD quality. (IT Can also over write the recording for continuous recording)",5.0
2023-08-27,Very nice 👍👍👍👍👍👍,4.0
